index,appId,image,title,current,currentPeak,allTimePeak,currentPrice,lowerPrice,description,exact,mainStory,portrait
31.,1248130,https://cdn.cloudflare.steamstatic.com/steam/apps/1248130/capsule_sm_120.jpg?t=1650600227,Farming Simulator 22,"25,109","31,724","105,636",CLP$ 31900,CLP$ 18500,"Create your farm and let the good times grow! Harvest crops, tend to animals, manage productions, and take on seasonal challenges.",true,466h 34m ,/games/100591_Farming_Simulator_22.jpg
32.,4000,https://cdn.cloudflare.steamstatic.com/steam/apps/4000/capsule_sm_120.jpg?t=1650899501,Garry's Mod,"24,809","32,649","73,863",CLP$ 5500,CLP$ 1375,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,true,65h 12m ,/games/GarrysMod_292x136.jpg
33.,251570,https://cdn.cloudflare.steamstatic.com/steam/apps/251570/capsule_sm_120.jpg?t=1650903680,7 Days to Die,"24,113","32,228","70,664",CLP$ 12000,CLP$ 459,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!",true,57h 51m ,/games/7DaystoDie.jpg
34.,892970,https://cdn.cloudflare.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1650658646,Valheim,"23,642","31,052","502,387",CLP$ 7700,CLP$ 5775,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!",true,73h 44m ,/games/87873_Valheim.jpg
35.,105600,https://cdn.cloudflare.steamstatic.com/steam/apps/105600/capsule_sm_120.jpg?t=1650909769,Terraria,"22,823","32,366","489,886",CLP$ 5500,CLP$ 1870,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",true,50h 41m ,/games/Terraria_292x136.jpg
36.,306130,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1650571420,The Elder Scrolls Online,"22,462","24,812","49,234",CLP$ 4497 at -70%,CLP$ 4497,"Join over 20 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.",true,75%,/games/The_Elder_scrolls_online_logo.jpg
37.,236850,https://cdn.cloudflare.steamstatic.com/steam/apps/236850/capsule_sm_120.jpg?t=1650658646,Europa Universalis IV,"22,178","25,539","48,165",CLP$ 18300,CLP$ 3660,"Four centuries of detailed history come alive in Paradox’s classic grand strategy game. Lead any nation from Renaissance to Revolution in a complex simulation of the early modern world. Master the art of war, diplomacy and trade to shape and change your nation’s history!",true,115h 03m ,/games/EuropaUniversalisIV_Packshot_edited.png
38.,1449850,https://cdn.cloudflare.steamstatic.com/steam/apps/1449850/capsule_sm_120.jpg?t=1650909894,Yu-Gi-Oh! Master Duel,"21,083","42,429","262,689",N/A,N/A,The definitive digital edition of the competitive card game that has been evolving for over 20 years! Duel at the highest level against Duelists all over the world.,true,14h 20m ,/games/102928_Yu-Gi-Oh_Master_Duel.jpg
39.,480,/static/img/applogo.svg,Spacewar,"20,471","26,078","36,248",N/A,N/A,,false,14h 20m ,/games/102928_Yu-Gi-Oh_Master_Duel.jpg
40.,275850,https://cdn.cloudflare.steamstatic.com/steam/apps/275850/capsule_sm_120.jpg?t=1650907393,No Man's Sky,"20,144","26,645","212,613",CLP$ 26500,CLP$ 10600,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.,false,14h 20m ,/games/102928_Yu-Gi-Oh_Master_Duel.jpg
41.,8930,https://cdn.cloudflare.steamstatic.com/steam/apps/8930/capsule_sm_120.jpg?t=1648598293,Sid Meier's Civilization V,"19,933","23,967","91,363",CLP$ 14500,CLP$ 3625,"Create, discover, and download new player-created maps, scenarios, interfaces, and more!",true,30h 49m ,/games/No_Mans_Sky_logo.png
42.,489830,https://cdn.cloudflare.steamstatic.com/steam/apps/489830/capsule_sm_120.jpg?t=1649808086,The Elder Scrolls V: Skyrim Special Edition,"19,679","24,878","69,906",CLP$ 26990,CLP$ 8906,"Winner of more than 200 Game of the Year Awards, Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more.",false,30h 49m ,/games/No_Mans_Sky_logo.png
43.,594650,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/capsule_sm_120.jpg?t=1650901415,Hunt: Showdown,"19,385","21,932","34,831",CLP$ 18900,CLP$ 8505,"Hunt: Showdown is a thrilling, high-stakes PvPvE first-person shooter. Take down nightmarish monsters, as you compete for the bounties that will bring you glory, gear, and gold in this unforgiving – and unforgettable - online multiplayer experience.",false,30h 49m ,/games/No_Mans_Sky_logo.png
44.,438100,https://cdn.cloudflare.steamstatic.com/steam/apps/438100/capsule_sm_120.jpg?t=1650890176,VRChat,"19,323","27,396","42,769",N/A,N/A,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",true,185h ,/games/52343_Hunt_Showdown.jpg
45.,294100,https://cdn.cloudflare.steamstatic.com/steam/apps/294100/capsule_sm_120.jpg?t=1650636449,RimWorld,"19,067","23,611","50,907",CLP$ 13500,CLP$ 11500,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",true,67h 24m ,/games/rimworld1.jpg
46.,1418630,https://cdn.cloudflare.steamstatic.com/steam/apps/1418630/capsule_sm_120.jpg?t=1650600227,Dread Hunger,"18,661","98,555","107,982",CLP$ 11500,CLP$ 7600,"A game of survival and betrayal. Eight Explorers path their ship through the unforgiving Arctic. Among the crew, two traitors call on dark powers to undermine them.",false,N/A,N/A
